"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Thailandia","Maschi",4.00,5.00,3.00,3.00,7.00,0.00,6.00,6.00,7.00,7.00,9.00,10.00,12.00,14.00,17.00,12.00,8.00,10.00,12.00,13.00,14.00,17.00,21.00,19.00,20.00,23.00,24.00
"Togo","Femmine",1.00,1.00,1.00,1.00,2.00,0.00,4.00,5.00,4.00,4.00,4.00,6.00,8.00,8.00,14.00,17.00,18.00,27.00,31.00,43.00,41.00,42.00,42.00,45.00,37.00,38.00,35.00
"Togo","Maschi",5.00,5.00,5.00,1.00,1.00,0.00,4.00,4.00,5.00,6.00,8.00,10.00,11.00,13.00,13.00,19.00,23.00,43.00,79.00,117.00,98.00,81.00,77.00,84.00,81.00,80.00,74.00
"Trinidad e Tobago","Femmine",3.00,2.00,2.00,2.00,3.00,0.00,4.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,8.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,6.00,5.00,5.00,3.00
"Trinidad e Tobago","Maschi",2.00,2.00,2.00,4.00,2.00,0.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
"Tunisia","Femmine",47.00,51.00,66.00,82.00,77.00,136.00,142.00,160.00,173.00,182.00,206.00,239.00,250.00,280.00,294.00,310.00,257.00,304.00,348.00,377.00,379.00,401.00,432.00,461.00,470.00,502.00,499.00
"Tunisia","Maschi",161.00,191.00,208.00,292.00,222.00,682.00,761.00,801.00,797.00,805.00,876.00,975.00,979.00,1034.00,1147.00,1083.00,713.00,860.00,946.00,995.00,1032.00,1067.00,1100.00,1131.00,1157.00,1255.00,1250.00
"Turchia","Femmine",240.00,240.00,246.00,252.00,146.00,286.00,303.00,322.00,316.00,316.00,332.00,378.00,378.00,399.00,455.00,456.00,350.00,380.00,414.00,419.00,433.00,428.00,444.00,472.00,506.00,558.00,595.00
"Turchia","Maschi",270.00,286.00,296.00,314.00,178.00,410.00,419.00,442.00,429.00,423.00,473.00,556.00,568.00,595.00,657.00,640.00,440.00,544.00,607.00,615.00,622.00,610.00,617.00,646.00,666.00,737.00,773.00
"Turkmenistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00
"Turkmenistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00
"Tuvalu","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ucraina","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,16.00,32.00,46.00,87.00,165.00,230.00,477.00,1722.00,2382.00,2820.00,2948.00,3187.00,3907.00,4675.00,5640.00,6324.00,6414.00
"Ucraina","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,14.00,22.00,45.00,76.00,79.00,90.00,370.00,573.00,672.00,683.00,731.00,881.00,1053.00,1273.00,1496.00,1537.00
"Uganda","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,6.00,8.00,8.00,8.00,7.00,9.00,8.00
"Uganda","Maschi",1.00,1.00,1.00,1.00,5.00,0.00,2.00,3.00,5.00,5.00,5.00,7.00,6.00,8.00,6.00,5.00,3.00,4.00,3.00,8.00,8.00,7.00,6.00,6.00,6.00,4.00,6.00
"Ungheria","Femmine",92.00,92.00,85.00,78.00,45.00,0.00,85.00,96.00,95.00,103.00,107.00,108.00,105.00,121.00,130.00,130.00,80.00,92.00,109.00,115.00,122.00,134.00,148.00,155.00,165.00,177.00,165.00
"Ungheria","Maschi",79.00,85.00,82.00,76.00,33.00,0.00,71.00,70.00,66.00,62.00,62.00,60.00,58.00,59.00,57.00,54.00,18.00,20.00,23.00,29.00,34.00,33.00,38.00,37.00,40.00,43.00,41.00
"Uruguay","Femmine",49.00,60.00,54.00,89.00,73.00,0.00,117.00,126.00,121.00,122.00,127.00,150.00,145.00,153.00,171.00,163.00,90.00,102.00,119.00,117.00,122.00,114.00,122.00,123.00,132.00,137.00,127.00
"Uruguay","Maschi",57.00,56.00,60.00,86.00,52.00,0.00,91.00,87.00,87.00,86.00,88.00,93.00,94.00,98.00,101.00,89.00,39.00,47.00,54.00,50.00,55.00,54.00,56.00,57.00,61.00,70.00,64.00
"Uzbekistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,5.00,6.00,9.00,8.00,10.00,14.00,13.00,16.00,15.00,13.00,15.00,21.00,18.00,26.00,24.00
"Uzbekistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,4.00,3.00,4.00,4.00,3.00,4.00,10.00
"Venezuela","Femmine",39.00,36.00,37.00,41.00,47.00,0.00,61.00,62.00,64.00,71.00,75.00,92.00,102.00,127.00,146.00,150.00,116.00,138.00,150.00,161.00,149.00,149.00,165.00,179.00,191.00,223.00,230.00
"Venezuela","Maschi",57.00,55.00,50.00,50.00,36.00,0.00,62.00,60.00,60.00,58.00,60.00,65.00,68.00,77.00,85.00,78.00,48.00,68.00,86.00,91.00,92.00,99.00,118.00,124.00,125.00,135.00,125.00
"Vietnam","Femmine",8.00,8.00,8.00,7.00,8.00,0.00,12.00,13.00,10.00,10.00,2.00,2.00,8.00,9.00,11.00,9.00,3.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,8.00,8.00,8.00
"Vietnam","Maschi",38.00,38.00,37.00,34.00,10.00,0.00,31.00,32.00,30.00,28.00,2.00,2.00,19.00,19.00,19.00,14.00,2.00,3.00,5.00,5.00,10.00,9.00,17.00,17.00,16.00,14.00,14.00
"Yemen","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
"Yemen","Maschi",4.00,4.00,4.00,5.00,2.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00
"Zambia","Femmine",1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,3.00,4.00,4.00,4.00
"Zambia","Maschi",1.00,1.00,2.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00
"Zimbabwe (Rhodesia)","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,1.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00
"Zimbabwe (Rhodesia)","Maschi",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,3.00,5.00,4.00,7.00,6.00
